Area,Centroid_1,Centroid_2,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,Circularity,Perimeter
121,11.60330579,49.82644628,17.52895147,9.103959074,0.854551292,15.19956604,0.885005897,41.45
122,12.74590164,60.6557377,16.71735508,11.31393348,0.736187419,66.25557326,0.752996595,45.122
129,21.82170543,65.13953488,18.57617156,9.834142479,0.848375127,32.3237997,0.763108266,46.09
243,21.81893004,77.48559671,27.23776346,12.6378898,0.885843515,45.92248882,0.717180516,65.252
215,27.44186047,51.43255814,19.12944388,14.98245484,0.621751793,-49.65851493,0.906546976,54.592
157,27.57961783,25.7388535,17.08696002,13.39194814,0.621073242,39.73480247,0.806624745,49.456
191,34.41884817,35.15183246,20.57577642,13.36724636,0.760225412,31.28103348,0.823227849,53.996
90,38.15555556,45.57777778,13.30250251,9.365630347,0.710150148,-17.63232172,0.943676926,34.619
178,41.70224719,58.21348315,24.06728411,10.73812207,0.894947774,28.59026396,0.7062153,56.279
154,43.01948052,67.58441558,24.83559869,8.123998813,0.944985905,31.76200914,0.711304276,52.16
218,43.67889908,79.41743119,24.96511341,11.93559149,0.878310406,49.57398967,0.746684043,60.571
231,47.68831169,27.53246753,20.23175756,16.33830541,0.589788992,-81.50500184,0.800594242,60.215
198,52.12121212,13.37373737,18.71805393,14.28331159,0.646307889,-36.08174394,0.91393823,52.177
93,48.7311828,46.06451613,15.30803106,8.20506583,0.844219591,-63.98775426,0.877409388,36.496
194,58.04639175,39.35051546,21.01972148,12.63576295,0.79914489,-84.91840249,0.80843561,54.914
138,59.54347826,55.57246377,17.20218818,10.6308014,0.786184992,58.56842764,0.926607566,43.261
264,61.46969697,73.90909091,22.19240568,15.95690865,0.694983548,-55.85626563,0.910212225,60.372
289,65.7716263,92.33910035,23.2561291,17.97006886,0.634768353,88.12649267,0.721953154,70.925
124,65.24193548,30.12903226,19.32621752,9.191147832,0.879672886,-64.59143698,0.754500156,45.445
238,70.09663866,17.6512605,21.47536215,14.99866617,0.715695234,-70.32491409,0.85967264,58.983
268,72.32089552,64.55970149,26.58045943,13.39835284,0.863664105,-73.38367503,0.765348422,66.335
273,75.01831502,42.41025641,22.23363271,16.13474145,0.688021035,71.79324686,0.961133951,59.744
259,87.34362934,86.79150579,22.06569493,16.44687508,0.666662759,-48.6106745,0.857836671,61.596
