Area,Centroid_1,Centroid_2,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,Circularity,Perimeter
267,16.62172285,67.01123596,25.86802083,14.2355667,0.834956951,36.53931628,0.771491309,65.947
179,17.6424581,30.25698324,20.42595023,13.0439289,0.769542218,-23.67255999,0.753841418,54.625
124,17.52419355,87.88709677,23.34123811,7.217448563,0.95099233,-65.28468118,0.658715664,48.637
133,22.4887218,12.39097744,21.28640796,9.008483042,0.906034641,31.37644199,0.690448514,49.2
244,26.32377049,50.98770492,22.06636882,16.16198994,0.680846271,88.51742468,0.721967381,65.169
402,28.81094527,79.28358209,26.64856862,19.98196199,0.661627742,87.63928584,0.855425281,76.847
311,33.64308682,17.04180064,29.36157929,14.8710355,0.862252053,43.75117045,0.683217659,75.632
182,37.07142857,28.78021978,28.52148866,8.706858939,0.952264668,40.8790596,0.599393443,61.771
190,44.19473684,41.45263158,26.89557824,9.39648785,0.936985128,2.325421081,0.716110135,57.742
527,58.19734345,54.51233397,55.77411505,17.04427847,0.952161662,-10.07899213,0.379744111,132.058
216,44.38425926,72.13888889,19.78880871,15.99162046,0.589025622,-35.9263786,0.782407537,58.9
192,50.15625,61.13020833,23.80722077,11.29768472,0.880229271,-0.240218748,0.740738485,57.072
213,50.58215962,30.34741784,19.99292861,15.79770742,0.612894501,30.26264636,0.77261602,58.859
202,52.95049505,11.00990099,19.36578223,14.94638234,0.63587341,14.1531675,0.823319603,55.526
415,60.15662651,83.03614458,28.25582651,19.59410606,0.720501238,-75.50750684,0.865854618,77.608
398,73.24874372,25.81155779,37.75650836,14.84651213,0.919445571,12.00590631,0.631483084,88.995
260,71.03846154,13.13846154,24.47807757,14.77909027,0.797159766,8.692841326,0.783163868,64.59
316,71.36392405,41.75316456,24.72214725,16.79310752,0.733884917,21.00626921,0.91746684,65.789
211,75.09952607,78.36018957,27.90888023,10.22545719,0.930462466,-40.69844724,0.670989819,62.862
293,83.36860068,68.30375427,21.77741801,19.73500694,0.422818754,-24.46070912,0.756249927,69.776
144,87.66666667,11.24305556,22.62618376,8.698629091,0.923145949,-37.74706647,0.688703194,51.259
98,85.01020408,50.57142857,13.81150326,9.535606254,0.723417862,-35.60307137,0.986561311,35.331
186,88.93010753,38.17204301,23.16754602,11.17616302,0.875947749,-74.6482931,0.731287273,56.535
222,96.88288288,84.92342342,21.70841693,13.97806507,0.765109061,-25.30281443,0.810928152,58.653
292,101.2739726,58.81164384,25.10597478,16.84779945,0.741396412,6.488442805,0.75190058,69.858
303,100.630363,30.39273927,23.53155247,17.77754401,0.655175299,-70.5555788,0.835046084,67.526
211,106.0616114,77.31279621,26.1951837,11.07534403,0.906222656,-31.45228806,0.732665161,60.158
158,106.0759494,43.85443038,22.72766692,9.322213878,0.912008952,28.4783989,0.75909224,51.143
215,110.8046512,16.05116279,23.89778287,14.33643734,0.800070052,-15.44728716,0.612606166,66.41
